Designator,Footprint,Quantity,Value,LCSC Part #
BT2,BatteryHolder_Keystone_1042_1x18650,1,Battery_Cell,
"C1, C15, C6",805,3,100nF,
"C10, C11, C7",C_Disc_D5.0mm_W2.5mm_P5.00mm,3,1uF,
C12,805,1,1uF,
"C13, C14",C_Disc_D5.0mm_W2.5mm_P5.00mm,2,10nF,
C16,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,4.7uF,
"C17, C18",C_Disc_D5.0mm_W2.5mm_P5.00mm,2,10pF,
"C19, C8, C9",C_Disc_D5.0mm_W2.5mm_P5.00mm,3,100nF,
C2,805,1,10nF,
"C20, C21",805,2,10uF,
C3,805,1,4.7uF,
"C4, C5",805,2,47pF,
"D1, D6",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,2,D_Schottky,
"D2, D4, D5",LED_D5.0mm,3,LED,
FB1,L0603,1,FerriteBead,
"J1, J3",USB_Conn_JLC_LCSC_C404969,2,USB_B_Micro,
J10,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Pin,
J11,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
"J5, J8",PinHeader_1x24_P2.54mm_Vertical,2,Conn_01x24_Pin,
J9,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10_Pin,
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,SolderJumper_2_Open,
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper_2_Open,
Q1,TSSOP-8_L4.4-W3.0-P0.65-LS6.4-BL,1,FS8205A,
"R1, R10, R11, R12, R13, R14, R16, R17, R39, R8, R9",805,11,0R,
"R15, R18",805,2,4k7,
"R19, R20, R36, R5",805,4,10k,
"R2, R3",805,2,27R,
R21,R_LDR_5.1x4.3mm_P3.4mm_Vertical,1,LDR07,
"R22, R4, R40, R7",805,4,1k0,
R6,805,1,100R,
SW1,SW_PUSH_6mm,1,SW_Push,
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Pad_D3.0mm,6,TestPoint,
U1,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,MCP1700x-330xxTT,
U11,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,AO3401A_C306862,C306862
U2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,DW01A,
U3,DFN-12_L3.0-W3.0-P0.45-BL-EP,1,FT234XD-R,
U4,SOT-563_L1.6-W1.2-P0.50-LS1.6-BR,1,TMP102xxDRL,
U5,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,CAT24C256,
U6,SOT-363_L2.0-W1.3-P0.65-LS2.1-BL,1,LTR-303ALS-01,
U7,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056,
U8,STM32F051C6T6,1,~,
U9,STLINK_UCT,1,STLINK_UCT,
X1,OSC-SMD_4P-L3.2-W2.5-BL,1,XXDCELNANF-8MHZ,C367183
